标题,链接,价格,作者,出版时间,评论数,简介
【正版包邮】随机送书签-Python编程入门经典 9787302257097 （美）佩恩 著，张春晖 译 清华大学出版社 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,http://product.dangdang.com/1701023747.html,¥262.34,（美）佩恩 著，张春晖 译,2011/7/1,0,???? 《Python编程入门经典》(作者James Payne)主要介绍Python3.1。Python3.1发布于2009年，是Python程序语言的*主版本。由于Python是一门跨平台的语言，本书中的内容和示例适用于任何平台(除非特别指出的例外情况)。在可能独立于平台的情况下，本书中的示例都尽量设计成跨平台的。此外，由于Python 3.1相对较新，并非所有支持库都被更新到可以在Python3.x下工作。在这种情形下，如果某些理论需要详细解释，本书将使用Python 2.6代替Python 3.1。
Python数据处理 {满额减} 评价有礼，关注有礼，70%城市隔日达。,http://product.dangdang.com/1776975901.html,¥99.00,[美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯,2017/6/1,0,用传统的电子表格来处理数据不仅效率低下，而且无法处理某些格式的数据，对于混乱或庞大的数据集更是束手无策。本书将教你如何利用语法简单、容易上手的Python轻松处理数据。作者通过循序渐进的练习，详细介绍如何有效地获取、清洗、分析与呈现数据，如何将数据处理过程自动化，如何安排文件编辑与清洗任务，如何处理更大的数据集，以及如何利用获取的数据来创作引人入胜的故事。学完本书，你的数据处理和分析能力将更上一层楼。* 快速了解Python基本语法、数据类型和语言概念* 概述数据的获取与存储方式* 清洗数据并格式化，以消除数据集中的重复值与错误* 学习何时对数据进行标准化，何时对数据清理进行测试并将其脚本化* 使用Scrapy写网络爬虫* 利用新的Python库和技术对数据集进行探索与分析* 使用Python解决方案将整个数据处理过程自动化
python编程从入门到精通 Python网络爬虫核心编程数据分析语言程序设计 电脑计算机编程零 明日科技 978712 [正版现货，发货特快，可开发票，售后无忧],http://product.dangdang.com/1795293404.html,¥53.17,明日科技,2019/5/1,0,Python是一门有条理的和强大的面向对象的程序设计语言，因其具有丰富和强大的库，还可以把用其他编程语言制作的各种模块（尤其是C/C++）很轻松地结合在一起，进行高效开发，Python语言已经成为受欢迎的程序设计语言之一。Python语言简单、易学、易用，适合在Web、数据分析、游戏、科学计算等领域进行编程开发。本书是一本面向Python零基础读者的入门书籍，按照基础入门→进阶提升→框架应用→项目开发的循序渐进的过程进行学习和实践。 本书特点 ―结构合理，适合自学。本书定位以初学者为主，在内容安排上充分体现了自学的特点，内容循序渐进，由浅入深，覆盖了编程的各方面技术。 ―视频讲解，全面到位。视频讲解是本书的特色之一，本书提供了近23小时的视频同步课程。每个知识点都力求讲透、讲全，在对各知识点的讲解过程中提供了很多
Python3学习笔记(上卷) 【满额减】,http://product.dangdang.com/1733022379.html,¥49.00,雨痕,2018/1/1,0,人们都认为Python简单易学，但其实Python 的复杂程度要远高出许多人的设想，诸多概念被隐藏在看似简单的代码背后。这也是Python易学难精的主要原因。对一门语言的学习如果仅停留在语言规范层面，经不起实战的考验。本书试图从Python 3的解释器入手，剖析语言背后的实现，帮助读者修炼Python技能，不仅会用，还用得好，用得妙。
"Python爬虫技术――深入理解原理、技术与开发,李宁,清华大学出版社,9787302535683,[质量保证,放心购买 [正版图书，品质保障，可开发票，下单速发]",http://product.dangdang.com/1662748722.html,¥97.13,李宁,2020/1/1,0,JetBrains大中华区市场部经理赵磊作序！超过300个实战案例，10万行源代码，22个综合实战项目，海量学习资料，1000套中英文简历模板。全书内容涵盖： 李宁 “私房菜谱” ? Python爬虫基础知识 ? Python网络库 ? Python解析库 ? Python数据存储 ? Python异步数据抓取 ? Python移动App数据抓取 ? Python可见即可爬 ? Python Scrapy实战 ? Python项目实战 李宁“实战项目” ? 抓取小说目录与正文 ? 抓取豆瓣网图书榜单 ? 抓取房屋租赁信息 ? 抓取豆瓣网音乐排行榜 ? 抓取百度网站图片搜索中的图片 ? 抓取QQ空间说说 ? 可视化爬虫抓取和分析当当网图书评论
Python程序员面试算法宝典 张波，楚秦等 著 9787111607793 机械工业出版社[直发]正品保障 达额立减,http://product.dangdang.com/1751957432.html,¥60.26,张波，楚秦等 著,2018/9/1,0,适读人群 ：本书可作为计算机相关专业毕业生面试笔试的求职用书 在这里，有面试笔试常见技巧的提炼与总结； 在这里，有面试笔试高频算法知识点的整理与剖析； 在这里，有面试笔试历年算法真题的解答与拓展。
"[正版现货]Python程序设计 第3版,[美] 约翰・策勒 (John Zelle),人民邮电出版社,97871152 满5件包邮",http://product.dangdang.com/1680527423.html,¥42.09,[美] 约翰・策勒 (John Zelle),2018/1/1,0,本书具有以下特点：● 广泛使用计算机图形学――本书提供一个简单的图形软件包graphics.py作为示例。● 生动有趣的例子――本书包含了完整的编程示例来解决实际问题。● 亲切自然的行文――以自然的叙事风格介绍了重要的计算机科学概念。● 灵活的螺旋式学习过程――简单地呈现概念，逐渐介绍新的思想，章节末加以巩固强化。● 时机恰好地介绍对象――本书既不是严格的“早讲对象”，也不是“晚讲对象”，而是在命令式编程的基础上简要地介绍了对象概念。● 提供丰富的教学素材――提供了大量的章末习题。还提供代码示例和教学PPT下载。本书以Python语言为工具教授计算机程序设计。本书强调解决问题、设计和编程是计算机科学的核心技能。本书特色鲜明、示例生动有趣、内容易读易学，适合Python入门程序员阅读，也适合高校计算机专业的教师和学生
Python量化交易实战 王晓华 著 9787302517634 清华大学出版社【直发】 正版保障 达额立减 闪电发货,http://product.dangdang.com/1762133192.html,¥73.23,王晓华 著,2019/1/1,0,
Python在机器学习中的应用 余本国，孙玉林 著 9787517074830,http://product.dangdang.com/1735814182.html,¥73.97,余本国，孙玉林 著,2019/6/1,0,
Python 数据处理 [美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯 9787115459190,http://product.dangdang.com/1743262702.html,¥91.77,[美] 杰奎琳・凯泽尔(Jacqueline Kazil)凯,2017/6/1,0,用传统的电子表格来处理数据不仅效率低下，而且无法处理某些格式的数据，对于混乱或庞大的数据集更是束手无策。本书将教你如何利用语法简单、容易上手的Python轻松处理数据。作者通过循序渐进的练习，详细介绍如何有效地获取、清洗、分析与呈现数据，如何将数据处理过程自动化，如何安排文件编辑与清洗任务，如何处理更大的数据集，以及如何利用获取的数据来创作引人入胜的故事。学完本书，你的数据处理和分析能力将更上一层楼。* 快速了解Python基本语法、数据类型和语言概念* 概述数据的获取与存储方式* 清洗数据并格式化，以消除数据集中的重复值与错误* 学习何时对数据进行标准化，何时对数据清理进行测试并将其脚本化* 使用Scrapy写网络爬虫* 利用新的Python库和技术对数据集进行探索与分析* 使用Python解决方案将整个数据处理过程自动化
Python量化交易实战 王晓华 著 9787302517634 清华大学出版社 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,http://product.dangdang.com/1658332223.html,¥66.38,王晓华 著,2019/1/1,0,
Python基础教程(第3版) 【满额减】,http://product.dangdang.com/1735682079.html,¥37.16,Magnus Lie Hetland,2018/2/1,0,久负盛名的Python入门经典 中文版累计销量200 000 册 针对Python 3全新升级 本书是经典的Python入门教程，层次鲜明、结构严谨、内容翔实，特别是后面几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python编程实践，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是中高级Python程序员，也能从书里找到耳目一新的内容。
"[正版现货]Python新手使用Django架站的16堂课,何敏煌,清华大学出版社,9787302467410 满5件包邮",http://product.dangdang.com/1717222383.html,¥72.93,何敏煌,2017/4/1,0,"本书免费赠送范例网站的源码和网站文件夹结构及其文件,下载地址:http://pan.baidu.com/s/1pLIuFXp（注意区分数字和英文字母大小写）1.详细的步骤教学，按图操作，快速上手2.深入分析Django的MVC/MTV架构3.多个实用的网站开发范例，即学即用到个人网站4.从设计、规划到实践，16堂课使你轻松成为网络架站高手"
"Python数据可视化：基于Bokeh的可视化绘图,屈希峰 著,机械工业出版社【可开发票】 本店书籍 正版保证 有问题您可以联系在线客服 谢谢!",http://product.dangdang.com/1760068970.html,¥63.20,屈希峰 著,2019/12/1,0,适读人群 ：大数据分析人员-企业管理运营人员- IT转型人员-大中专院校学生及科研人员 国内市面上各式各样的BI系统都非常成熟，如数据分析、图表的拖拽等，即使零编程基础的用户都可以做出像模像样的可视化图表或数据看板。 然而，随着互联网的发展，企业对数据的安全性要求也随之提高，小到企业数据看板，大到各系统中台的战略数据展示，数据动态可视化的需求越来越迫切，专精于数据可视化系统开发的人才也会愈加受到重视。 通过阅读本书，你将学会： ★各种Bokeh图形的绘制方法 ★使用Bokeh控件进行数据交互的方法 ★使用Bokeh实现Web数据动态可视化 ★构建各类数据可视化看板
Python学习从入门到实践 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791151461.html,¥28.80,王学颖，刘立群，刘冰，司雨昌 著,2017/11/1,0,1. 内容完整。既注重知识的系统性，又兼顾内容的实用性；既保持了结构的严谨完整，又考虑了语言的清晰简洁。 2. 案例丰富。《Python学习从入门到实践（中国高校创意创新创业教育系列丛书）》提供丰富的教学案例，内容涉及图形绘制、中文分词、图形用户界面、网络爬虫、数据库访问等，引导读者进行深入的学习和研究。 3. 叙述简练。《Python学习从入门到实践（中国高校创意创新创业教育系列丛书）》面向编程零基础的学生，内容强调通俗易懂、简洁清晰、由浅入深。 4. 面向应用。《Python学习从入门到实践（中国高校创意创新创业教育系列丛书）》注重从应用的角度出发，知识引入、概念讲解符合读者的认知习惯，帮助读者用*简单直观的方式解读知识。 5. 资源开放。《Python学习从入门到实践（中国高校创意创新创业教育系列丛书）》配套的教学课件、案例
